master_supplier_id,source_system,supplier_name_clean,supplier_name_normalized,dedupe_key,duplicate_record_count,duplicate_score,record_rank,is_master_record,annual_spend_amount,risk_signal,completeness_score
55242cf3d6caafd74f7c9420445855760ab03a60c9394061bf545178ce057501,conference_csv,Abc Tech Llc,ABC TECH,phone:2125550199,5,100.0,3,False,,,1.0
55242cf3d6caafd74f7c9420445855760ab03a60c9394061bf545178ce057501,supplier_activity_api,Abc Tech Llc,ABC TECH,phone:2125550199,5,100.0,5,False,,low,0.75
55242cf3d6caafd74f7c9420445855760ab03a60c9394061bf545178ce057501,government_vendor,Abc Technologies,ABC TECH,phone:2125550199,5,100.0,1,True,,,1.0
55242cf3d6caafd74f7c9420445855760ab03a60c9394061bf545178ce057501,conference_csv,Abc Technologies Llc,ABC TECH,phone:2125550199,5,100.0,2,False,,,1.0
55242cf3d6caafd74f7c9420445855760ab03a60c9394061bf545178ce057501,erp_export,Abc Technologies Llc,ABC TECH,phone:2125550199,5,100.0,4,False,124500.22,,0.875
7645b2e9b68ba0988646c2394aacb08b222dd39d16a2d5eaa6d164949dcf2c49,government_vendor,Acme Medical Devices,ACME MEDICAL DEVICES,phone:6175550103,2,100.0,1,True,,,1.0
7645b2e9b68ba0988646c2394aacb08b222dd39d16a2d5eaa6d164949dcf2c49,erp_export,Acme Medical Devices,ACME MEDICAL DEVICES,phone:6175550103,2,100.0,2,False,98200.0,,0.875
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,1,True,20944.559999999998,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,2,False,35861.32,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,3,False,57421.799999999996,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,4,False,19324.44,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,5,False,60625.770000000004,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,6,False,3065.78,low,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,7,False,19731.25,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,8,False,11282.88,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,9,False,123293.73999999999,high,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,10,False,54508.52,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,11,False,2658.96,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,12,False,57382.0,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,13,False,25322.82,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,14,False,47230.68,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,15,False,51374.75,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,16,False,8223.12,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,17,False,120772.8,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,18,False,50424.0,high,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,19,False,100577.61,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,20,False,69427.35,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,21,False,13799.400000000001,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,22,False,16184.480000000001,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,23,False,66556.95,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,24,False,86526.78,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,25,False,16856.22,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,26,False,26983.04,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,27,False,87308.07,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,28,False,32213.61,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,29,False,37945.5,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,30,False,43717.479999999996,low,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,31,False,53044.26,high,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,32,False,1933.84,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,33,False,31342.56,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,34,False,10372.08,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,35,False,43253.28,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,36,False,13662.0,medium,1.0
ab5ad30e0fdba4dddc0eac46c4648f5d3abe6bca426ade6a78840ef8ceac88c0,kaggle_procurement_kpi,Alpha Inc,ALPHA,name:ALPHA,141,100.0,37,False,28494.1,medium,1.0
